antecedent_names,consequent_names,support,confidence,lift
WOODEN STAR CHRISTMAS SCANDINAVIAN,WOODEN TREE CHRISTMAS SCANDINAVIAN,0.011059371362048894,0.5690104166666666,40.65800651748041
WOODEN TREE CHRISTMAS SCANDINAVIAN,WOODEN STAR CHRISTMAS SCANDINAVIAN,0.011059371362048894,0.790235081374322,40.65800651748041
SET/10 PINK POLKADOT PARTY CANDLES,SET/10 BLUE SPOTTY PARTY CANDLES,0.012350053145720505,0.6047087980173482,37.988018195321935
SET/10 BLUE SPOTTY PARTY CANDLES,SET/10 PINK POLKADOT PARTY CANDLES,0.012350053145720505,0.7758346581875993,37.98801819532193
BLUE POLKADOT CUP,PINK POLKADOT CUP,0.0131852001822139,0.6775032509752926,35.646955338265926
PINK POLKADOT CUP,BLUE POLKADOT CUP,0.0131852001822139,0.6937416777629827,35.646955338265926
BLUE POLKADOT BOWL,PINK POLKADOT BOWL,0.011641443538998836,0.6637806637806638,34.51135414293309
PINK POLKADOT BOWL,BLUE POLKADOT BOWL,0.011641443538998836,0.6052631578947368,34.51135414293309
WOODEN STAR CHRISTMAS SCANDINAVIAN,WOODEN HEART CHRISTMAS SCANDINAVIAN,0.013969732246798603,0.7187499999999999,34.13544170673077
WOODEN HEART CHRISTMAS SCANDINAVIAN,WOODEN STAR CHRISTMAS SCANDINAVIAN,0.013969732246798603,0.6634615384615384,34.13544170673077
"RED 3 PIECE MINI DOTS CUTLERY SET, PINK 3 PIECE MINI DOTS CUTLERY SET",BLUE 3 PIECE MINI DOTS CUTLERY SET,0.010097686895783773,0.7430167597765364,30.872307303690913
BLUE 3 PIECE MINI DOTS CUTLERY SET,"RED 3 PIECE MINI DOTS CUTLERY SET, PINK 3 PIECE MINI DOTS CUTLERY SET",0.010097686895783773,0.4195583596214511,30.87230730369091
RED STRIPE CERAMIC DRAWER KNOB,RED SPOT CERAMIC DRAWER KNOB,0.011413676165409729,0.5466666666666666,29.712498853736818
RED SPOT CERAMIC DRAWER KNOB,RED STRIPE CERAMIC DRAWER KNOB,0.011413676165409729,0.6203576341127923,29.712498853736818
RED STRIPE CERAMIC DRAWER KNOB,BLUE STRIPE CERAMIC DRAWER KNOB,0.012577820519309613,0.6024242424242424,29.570424242424245
