,Invoice,StockCode,Description,Quantity,Price,Revenue,CustomerID,Country
1001747,581483,23843,"PAPER CRAFT , LITTLE BIRDIE",80995,2.08,168469.6,16446,United Kingdom
540112,541431,23166,MEDIUM CERAMIC TOP STORAGE JAR,74215,1.04,77183.6,12346,United Kingdom
86700,497946,37410,BLACK AND WHITE PAISLEY FLOWER MUG,19152,0.1,1915.2,13902,Denmark
121304,501534,21099,SET/6 STRAWBERRY PAPER CUPS,12960,0.1,1296.0,13902,Denmark
121306,501534,21091,SET/6 WOODLAND PAPER PLATES,12960,0.1,1296.0,13902,Denmark
121307,501534,21085,SET/6 WOODLAND PAPER CUPS,12744,0.1,1274.4,13902,Denmark
121305,501534,21092,SET/6 STRAWBERRY PAPER PLATES,12480,0.1,1248.0,13902,Denmark
128795,502269,21984,PACK OF 12 PINK PAISLEY TISSUES,10000,0.25,2500.0,17940,United Kingdom
128796,502269,21982,PACK OF 12 SUKI TISSUES,10000,0.25,2500.0,17940,United Kingdom
128797,502269,21980,PACK OF 12 RED RETROSPOT TISSUES,10000,0.25,2500.0,17940,United Kingdom
