,Invoice,StockCode,Description,Quantity,Price,Revenue,CustomerID,Country
1001747,581483,23843,"PAPER CRAFT , LITTLE BIRDIE",80995,2.08,168469.6,16446,United Kingdom
540112,541431,23166,MEDIUM CERAMIC TOP STORAGE JAR,74215,1.04,77183.6,12346,United Kingdom
695086,556444,22502,PICNIC BASKET WICKER SMALL,60,649.5,38970.0,15098,United Kingdom
412740,530715,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,9360,1.69,15818.4,15838,United Kingdom
217249,511465,15044A,PINK PAPER PARASOL,3500,2.55,8925.0,18008,United Kingdom
816547,567423,23243,SET OF TEA COFFEE SUGAR TINS PANTRY,1412,5.06,7144.719999999999,17450,United Kingdom
531402,540815,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,3114,2.1,6539.400000000001,15749,United Kingdom
635143,550461,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,3114,2.1,6539.400000000001,15749,United Kingdom
440978,533027,22086,PAPER CHAIN KIT 50'S CHRISTMAS,835,6.95,5803.25,,United Kingdom
362712,525968,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,3120,1.66,5179.2,15838,United Kingdom
