StockCode,description,revenue,quantity,invoices
22423,REGENCY CAKESTAND 3 TIER,330590.32,26478,3918
85123A,WHITE HANGING HEART T-LIGHT HOLDER,257724.71,94203,5365
85099B,JUMBO BAG RED RETROSPOT,180569.34,96757,3989
23843,"PAPER CRAFT , LITTLE BIRDIE",168469.6,80995,1
47566,PARTY BUNTING,148318.28,28200,2674
84879,ASSORTED COLOUR BIRD ORNAMENT,129324.49,80082,2807
22086,PAPER CHAIN KIT 50'S CHRISTMAS,117760.29000000001,35084,2018
23166,MEDIUM CERAMIC TOP STORAGE JAR,81700.92000000001,78033,247
79321,CHILLI LIGHTS,80540.88,15841,1135
22197,SMALL POPCORN HOLDER,79520.2,88499,2322
22386,JUMBO BAG PINK POLKADOT,76324.62,39437,2245
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,71300.4,31409,756
20725,LUNCH BAG RED RETROSPOT,71106.29,40317,3056
85099F,JUMBO BAG STRAWBERRY,67985.77,36860,1830
48138,DOORMAT UNION FLAG,67010.31,10077,1664
23084,RABBIT NIGHT LIGHT,66870.03,30739,994
20685,DOORMAT RED RETROSPOT,66417.47,9783,1725
21137,BLACK RECORD COVER FRAME,65189.29,18739,634
21843,RED RETROSPOT CAKE STAND,64918.299999999996,6128,1527
21931,JUMBO STORAGE BAG SUKI,61537.55,29182,2329
