,Invoice,CustomerID,StockCode,Description,Quantity,Price,Revenue
776116,581483,16446,23843,"PAPER CRAFT , LITTLE BIRDIE",80995,2.08,168469.6
421802,541431,12346,23166,MEDIUM CERAMIC TOP STORAGE JAR,74215,1.04,77183.6
62378,497946,13902,37410,BLACK AND WHITE PAISLEY FLOWER MUG,19152,0.1,1915.2
90149,501534,13902,21099,SET/6 STRAWBERRY PAPER CUPS,12960,0.1,1296.0
90151,501534,13902,21091,SET/6 WOODLAND PAPER PLATES,12960,0.1,1296.0
90152,501534,13902,21085,SET/6 WOODLAND PAPER CUPS,12744,0.1,1274.4
90150,501534,13902,21092,SET/6 STRAWBERRY PAPER PLATES,12480,0.1,1248.0
96514,502269,17940,21984,PACK OF 12 PINK PAISLEY TISSUES,10000,0.25,2500.0
96515,502269,17940,21982,PACK OF 12 SUKI TISSUES,10000,0.25,2500.0
96516,502269,17940,21980,PACK OF 12 RED RETROSPOT TISSUES,10000,0.25,2500.0
